x,Curve1
-0.355375,0.000703121
-0.323732,0.00330254
-0.293712,0.00797723
-0.274239,0.0124857
-0.254767,0.0148934
-0.237728,0.025666
-0.219067,0.0343634
-0.203651,0.038808
-0.189858,0.0516304
-0.170385,0.0603406
-0.14929,0.0690763
-0.125761,0.0799513
-0.102231,0.092927
-0.0819473,0.107953
-0.0640974,0.135545
-0.0446247,0.196776
-0.0332657,0.28519
-0.0227181,0.403003
-0.0162272,0.545963
-0.0137931,0.648942
-0.00892495,0.760364
-0.00649087,0.846536
-0.00324544,0.905411
-0.00162272,0.922243
0.00162272,0.882379
0.00243408,0.825669
0.00486815,0.745875
0.00811359,0.659792
0.011359,0.571608
0.0146045,0.510734
0.0186613,0.454076
0.0243408,0.405846
0.0332657,0.334558
0.043002,0.261182
0.0535497,0.206726
0.0640974,0.139665
0.0754564,0.0873234
0.0916836,0.0497639
0.107911,0.0227087
0.123327,0.0124474
0.13144,0.0104744
