x,Curve1
-0.619157,-0.106829
-0.618483,-0.228507
-0.607144,-0.048866
-0.589124,0.0380779
-0.580997,-0.315359
-0.546177,0.0787089
-0.512642,-0.407954
-0.466355,0.142578
-0.444448,-0.471578
-0.302149,-0.552463
-0.299997,0.171825
-0.152238,0.218424
-0.0982416,-0.621656
-0.016974,0.293973
0.106052,0.352119
0.130239,-0.673427
0.161333,0.392771
0.272088,0.439308
0.395082,0.503249
0.408123,-0.736703
0.593304,-0.765368
0.727315,0.648656
0.834055,-0.80553
1.05971,0.765091
1.13034,-0.851393
1.4266,-0.891463
1.42924,0.858411
1.72283,-0.925738
1.91421,-0.960187
1.96515,0.975184
2.12396,-0.971428
2.39542,-0.988361
2.69235,1.07489
2.82742,-1.03979
3.46282,1.15729
3.47541,-1.11405
4.02444,-1.13632
4.27659,1.21658
4.55505,-1.176
4.80069,1.24062
4.98686,-1.19266
